doc_id,doc_type,quality_profile,overall_confidence,routing_decision,is_corrupt
DOC-INV-001,invoice,digital_clean,0.887,HUMAN_REVIEW_QUEUE,False
DOC-INV-002,invoice,digital_clean,0.877,HUMAN_REVIEW_QUEUE,False
DOC-INV-003,invoice,digital_clean,0.889,HUMAN_REVIEW_QUEUE,False
DOC-INV-004,invoice,digital_clean,0.883,HUMAN_REVIEW_QUEUE,False
DOC-INV-005,invoice,digital_clean,0.894,HUMAN_REVIEW_QUEUE,False
DOC-INV-006,invoice,digital_clean,0.89,HUMAN_REVIEW_QUEUE,False
DOC-INV-007,invoice,low_res_scan,0.779,HUMAN_REVIEW_QUEUE,False
DOC-INV-008,invoice,digital_clean,0.889,HUMAN_REVIEW_QUEUE,False
DOC-INV-009,invoice,digital_clean,0.884,HUMAN_REVIEW_QUEUE,False
DOC-INV-010,invoice,noisy_background,0.815,HUMAN_REVIEW_QUEUE,False
DOC-INV-011,invoice,low_res_scan,0.847,HUMAN_REVIEW_QUEUE,False
DOC-INV-012,invoice,digital_clean,0.973,AUTO_ACCEPTED,False
DOC-INV-013,invoice,low_res_scan,0.864,AUTO_ACCEPTED,False
DOC-INV-014,invoice,digital_clean,0.968,AUTO_ACCEPTED,False
DOC-INV-015,invoice,noisy_background,0.827,HUMAN_REVIEW_QUEUE,False
DOC-INV-016,invoice,noisy_background,0.821,HUMAN_REVIEW_QUEUE,False
DOC-INV-017,invoice,digital_clean,0.96,AUTO_ACCEPTED,False
DOC-INV-018,invoice,noisy_background,0.82,HUMAN_REVIEW_QUEUE,False
DOC-INV-019,invoice,noisy_background,0.819,HUMAN_REVIEW_QUEUE,False
DOC-INV-020,invoice,digital_clean,0.971,AUTO_ACCEPTED,False
DOC-INV-021,invoice,low_res_scan,0.855,AUTO_ACCEPTED,False
DOC-INV-022,invoice,digital_clean,0.975,AUTO_ACCEPTED,False
DOC-INV-023,invoice,digital_clean,0.973,AUTO_ACCEPTED,False
DOC-INV-024,invoice,handwritten_field,0.872,HUMAN_REVIEW_QUEUE,False
DOC-INV-025,invoice,noisy_background,0.823,HUMAN_REVIEW_QUEUE,False
DOC-INV-026,invoice,noisy_background,0.825,HUMAN_REVIEW_QUEUE,False
DOC-INV-027,invoice,handwritten_field,0.896,HUMAN_REVIEW_QUEUE,False
DOC-INV-028,invoice,noisy_background,0.801,HUMAN_REVIEW_QUEUE,False
DOC-INV-029,invoice,digital_clean,0.971,AUTO_ACCEPTED,False
DOC-INV-030,invoice,low_res_scan,0.862,AUTO_ACCEPTED,False
DOC-INV-031,invoice,noisy_background,0.816,HUMAN_REVIEW_QUEUE,False
DOC-INV-032,invoice,digital_clean,0.98,AUTO_ACCEPTED,False
DOC-INV-033,invoice,digital_clean,0.976,AUTO_ACCEPTED,False
DOC-INV-034,invoice,digital_clean,0.972,AUTO_ACCEPTED,False
DOC-INV-035,invoice,invalid_corrupt,0.0,REJECTED,True
DOC-CLM-001,claim,digital_clean,0.88,HUMAN_REVIEW_QUEUE,False
DOC-CLM-002,claim,digital_clean,0.892,HUMAN_REVIEW_QUEUE,False
DOC-CLM-003,claim,handwritten_field,0.72,HUMAN_REVIEW_QUEUE,False
DOC-CLM-004,claim,digital_clean,0.886,HUMAN_REVIEW_QUEUE,False
DOC-CLM-005,claim,digital_clean,0.891,HUMAN_REVIEW_QUEUE,False
DOC-CLM-006,claim,digital_clean,0.887,HUMAN_REVIEW_QUEUE,False
DOC-CLM-007,claim,noisy_background,0.741,HUMAN_REVIEW_QUEUE,False
DOC-CLM-008,claim,digital_clean,0.886,HUMAN_REVIEW_QUEUE,False
DOC-CLM-009,claim,low_res_scan,0.713,HUMAN_REVIEW_QUEUE,False
DOC-CLM-010,claim,digital_clean,0.886,HUMAN_REVIEW_QUEUE,False
DOC-CLM-011,claim,digital_clean,0.884,HUMAN_REVIEW_QUEUE,False
DOC-CLM-012,claim,digital_clean,0.886,HUMAN_REVIEW_QUEUE,False
DOC-CLM-013,claim,digital_clean,0.898,HUMAN_REVIEW_QUEUE,False
DOC-CLM-014,claim,digital_clean,0.894,HUMAN_REVIEW_QUEUE,False
DOC-CLM-015,claim,digital_clean,0.887,HUMAN_REVIEW_QUEUE,False
DOC-CLM-016,claim,digital_clean,0.879,HUMAN_REVIEW_QUEUE,False
